County,ED visits,Asthma_children,A5.9,A10.14,A15.17,No.Hospitals,PercentLessHS,PercentHS,MedianIncome,SpecDist,PedDist
Coweta,90,1319,1,0,0,1,0.100984743,0.327714768,70195.8,10.05,9.53067446
Wheeler,3,44,1,0,0,1,0.265994844,0.468244668,42980.5,21,21.61071302
Effingham,18,267,0,1,0,1,0.12342597,0.41822387,65668.6,10,15.7296101
Clarke,52,776,1,0,0,2,0.140180137,0.218541579,47538.07143,3.8,2.733635251
Dougherty,27,405,0,0,1,2,0.157413202,0.294801804,34895.25926,3.555555556,2.958901572
Franklin,14,210,1,0,0,1,0.226023104,0.400107459,48297,36.6,5.698430295
Dooly,3,45,0,1,0,0,0.260356547,0.439015006,25764,18.33333333,15.44343417
Hart,16,243,1,0,0,1,0.198035633,0.394015532,37601.6,15.6,10.96871809
Union,5,76,0,0,1,1,0.14659249,0.282985628,57731.16667,17,3.437428181
Lamar,11,168,1,0,0,0,0.185431185,0.455248258,45478.33333,38,20.50633469
Stewart,3,46,1,0,0,1,0.184274333,0.462071354,35206,36.5,25
Twiggs,3,46,0,0,1,0,0.31184739,0.431726908,30397.5,16.5,20.34045458
Irwin,6,92,1,0,0,1,0.2877771,0.381736831,51637.5,19.5,10.02711115
Toombs,9,138,0,0,1,1,0.151338853,0.411576042,40067.5,5.5,5.611988941
Oconee,11,169,0,1,0,0,0.097681826,0.170412316,89600,11.33333333,5.049831989
Schley,2,31,0,1,0,0,0.232714342,0.380086922,57265.5,16.5,15.14416952
Murray,11,174,0,1,0,1,0.30124628,0.416945685,40748.875,14,15.90506308
Bartow,64,1019,1,0,0,1,0.186762704,0.405210224,57496.2,8.133333333,7.490320214
Haralson,17,272,1,0,0,1,0.264056225,0.383400268,50258.6,7.6,22.4334283
Henry,137,2195,1,0,0,1,0.08777805,0.314661434,70918.92,15.64,4.352161352
Screven,6,97,0,0,1,1,0.192359611,0.469492441,46860.6,7.2,21.57265551
Glynn,42,688,1,0,0,1,0.123621065,0.321845266,62801.2,4.666666667,2.86462606
Stephens,7,115,0,0,1,1,0.195287451,0.407352174,38693,41.6,3.0975
Wilcox,4,66,1,0,0,0,0.256039604,0.403366337,42538.25,3.25,21.54685218
Dodge,10,165,1,0,0,1,0.20099728,0.437080689,45478.83333,33.66666667,9.578352812
Lee,9,149,0,1,0,0,0.128727602,0.323242124,73971.2,9.2,6.317775831
Clayton,84,1393,0,0,1,1,0.159750473,0.324285223,41934.61224,10.63265306,3.290241003
